명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,주최자 정보,주최자 연락처,주관사 정보,주관사 연락처,행사시작일,행사종료일,공연시간,행사장소,이벤트 홈페이지,이용요금,할인정보,관람소요시간,관람가능연령,예매처,행사장 위치안내,부대행사,프로그램,상세정보,진행형태,축제형태
시흥 써머비트 페스티벌,15119.0,시흥시,031-310-2931,경기도 시흥시 거북섬둘레길 42 (정왕동)거북섬 웨이브파크 광장,37.3241520972,126.6806993687,"더위를 날리고 여름밤을 뜨겁게 물들일 시흥 써머비트 페스티벌이 거북섬에서 열린다. 바다와 도시가 어우러진 특별한 무대에서 신나는 비트와 자유로운 에너지를 만끽할 수 있는 이번 축제는, 국내외 음악 팬과 관광객들에게 잊지 못할 여름 추억을 선사할 예정이다. 국내 최정상급 DJ들의 화려한 공연과 대학생 DJ들의 젊고 신선한 사운드가 어우러지며, 행사 기간 내내 지역 상인이 참여하는 팝업스토어와 다양한 먹거리존, 플리마켓이 운영되어 방문객들에게 다채로운 즐길 기회를 제공한다.",시흥시,031-310-2931,,,20250718,20250719,14:00~22:00,,,무료,,,,,,,,"행사소개:더위를 날리고 여름밤을 뜨겁게 물들일 시흥 써머비트 페스티벌이 거북섬에서 열린다. 바다와 도시가 어우러진 특별한 무대에서 신나는 비트와 자유로운 에너지를 만끽할 수 있는 이번 축제는, 국내외 음악 팬과 관광객들에게 잊지 못할 여름 추억을 선사할 예정이다. 국내 최정상급 DJ들의 화려한 공연과 대학생 DJ들의 젊고 신선한 사운드가 어우러지며, 행사 기간 내내 지역 상인이 참여하는 팝업스토어와 다양한 먹거리존, 플리마켓이 운영되어 방문객들에게 다채로운 즐길 기회를 제공한다.
행사내용:1. 메인프로그램 : 국내 글로벌 DJ 공연, 대학생 DJ 퍼포먼스<br>
2. 부대프로그램 : 팝업스토어, 먹거리존, 플리마켓 
",,
영도 맥주 축제,49111.0,"영도구, (사)한국방송문화예술진흥원",051-207-1881,부산광역시 영도구 해양로301번길 17 (동삼동)부산항국제크루즈터미널,35.0807982803,129.0791976502,"영도맥주축제는 부산국제크루즈터미널에서 개최되는 여름철 도심형 맥주 축제로, 무제한 생맥주 시음과 대중음악 공연, 먹거리 부스 운영 등을 중심으로 구성된 대규모 야외 행사이다. 인기 가수 및 걸그룹 댄스팀의 공연과 EDM DJ 무대가 마련되며, 방문객을 위한 다양한 참여형 체험 부스와 포토존, 푸드트럭 등 부대 프로그램도 함께 운영된다. 본 축제는 지역 관광 활성화 및 여름철 문화 향유 기회를 제공하는 복합문화축제이다.","영도구, (사)한국방송문화예술진흥원",051-207-1881,"영도맥주축제 조직위원회, 한아방송(주)",,20250816,20250824,17:00~22:00,부산국제크루트터미널,,유료,,,,,,,,"행사소개:영도맥주축제는 부산국제크루즈터미널에서 개최되는 여름철 도심형 맥주 축제로, 무제한 생맥주 시음과 대중음악 공연, 먹거리 부스 운영 등을 중심으로 구성된 대규모 야외 행사이다. 인기 가수 및 걸그룹 댄스팀의 공연과 EDM DJ 무대가 마련되며, 방문객을 위한 다양한 참여형 체험 부스와 포토존, 푸드트럭 등 부대 프로그램도 함께 운영된다. 본 축제는 지역 관광 활성화 및 여름철 문화 향유 기회를 제공하는 복합문화축제이다.
행사내용:1. 메인 프로그램<br>생맥주 무제한 제공 / 인기 가수 라이브 공연 / 걸그룹 댄스 퍼포먼스 /EDM DJ 나이트 파티 / 레트로 콘셉트 무대 공연<br><br>2. 부대 프로그램<br>다양한 지역·트렌디 먹거리존 운영 / 감성 포토존 설치 / 여름밤 불꽃놀이 (일부 일정)<br><br>3. 소비자 참여 프로그램<br>참여형 체험 부스 (DIY, 게임존 등) / 관객 대상 댄스 챌린지 or 맥주 빨리 마시기 이벤트 / SNS 인증샷 이벤트<br><br>4. 기타 내용<br>만 19세 이상 (관람등급) / 외부 주류,음식 및 위험물 반입 금지 / 공연장 내 촬영 및 초상권 활용 안내 고지 / 우천 시 일부 프로그램 변경 가능<br><br>[이용요금]<br>얼리버드(사전예약) : 15,000원 / 온라인예매 : 18,000 / 현장판매 : 20,000원 / 우선입장권 : 40,000원
",,
가평 양떼목장 수국축제,12469.0,가평양떼목장,031-585-1155,경기도 가평군 설악면 유명로 1209,37.6438848073,127.4739042663,"가평의 아름다운 자연 속에서 펼쳐지는 본 축제는, 활짝 핀 가을 수국의 물결과 사랑스러운 알파카들을 한자리에서 만날 수 있다. 가을의 정취를 가득 담은 수국밭을 거닐며 싱그러움을 만끽하고, 순수하고 귀여운 알파카들에게 직접 먹이를 주거나 함께 사진을 찍으며 잊지 못할 추억을 만들 수 있다. 단순히 꽃과 동물을 감상하는 것을 넘어, 방문객들이 직접 참여하고 즐길 수 있는 다채로운 프로그램들이 마련되어 있다. 수국밭 속 양떼목장에서는 동물들에게 먹이를 주는 체험을 할 수 있으며, 흥미로운 앵무새 공연도 준비되어 있다. 이와 더불어, 사계절 썰매를 무료로 이용하거나 주말에 진행되는 OX 퀴즈에 참여하며 즐거운 시간을 보낼 수 있다. 뿐만 아니라, 프리마켓 등 다양한 소비자 참여형 이벤트가 축제의 활기를 더하고, 맛있는 빵과 음료를 즐길 수 있는 베이커리 & 카페도 운영되어 풍성한 경험을 제공된다. 자연의 아름다움과 순수한 동물과의 교감이 어우러진 가평 가을 수국 & 알파카 축제에서 특별하고 행복한 시간을 만들 수 있다.",가평양떼목장,031-585-1155,,,20250627,20251031,10:00 ~ 19:00,가평양떼목장,,"입장료 무료 (음료 교환권 10,000원)",,,,,,,,"행사소개:가평의 아름다운 자연 속에서 펼쳐지는 본 축제는, 활짝 핀 가을 수국의 물결과 사랑스러운 알파카들을 한자리에서 만날 수 있다. 가을의 정취를 가득 담은 수국밭을 거닐며 싱그러움을 만끽하고, 순수하고 귀여운 알파카들에게 직접 먹이를 주거나 함께 사진을 찍으며 잊지 못할 추억을 만들 수 있다. 단순히 꽃과 동물을 감상하는 것을 넘어, 방문객들이 직접 참여하고 즐길 수 있는 다채로운 프로그램들이 마련되어 있다. 수국밭 속 양떼목장에서는 동물들에게 먹이를 주는 체험을 할 수 있으며, 흥미로운 앵무새 공연도 준비되어 있다. 이와 더불어, 사계절 썰매를 무료로 이용하거나 주말에 진행되는 OX 퀴즈에 참여하며 즐거운 시간을 보낼 수 있다. 뿐만 아니라, 프리마켓 등 다양한 소비자 참여형 이벤트가 축제의 활기를 더하고, 맛있는 빵과 음료를 즐길 수 있는 베이커리 & 카페도 운영되어 풍성한 경험을 제공된다. 자연의 아름다움과 순수한 동물과의 교감이 어우러진 가평 가을 수국 & 알파카 축제에서 특별하고 행복한 시간을 만들 수 있다. 
행사내용:1. 메인프로그램 : 수국꽃밭 속 양떼목장 동물 먹이 주기 체험<br>2. 부대프로그램 : 사계절 썰매 무료 이용, 주말 OX 퀴즈<br>3. 소비자 참여 프로그램 : 프리마켓 등 다채로운 이벤트<br>4. 기타 먹거리 : 베이커리 & 카페
",,
오픈포트사운드 페스티벌(Open Port Sound),22306.0,인천광역시,070-7779-7128,인천광역시 중구 월미로 33 (북성동1가),37.4761360618,126.6146650689,"""나는 바다의 내음도, 태양의 뜨거움도, 우리의 심장소리도 그립다."" 라는 슬로건과 함께 열리는 Open Port Sound는 개항의 역사를 간직한 인천항의 부둣가에서 열리는 음악페스티벌이다. 2025년 처음 열리는 이번 페스티벌은 7월 26일 토요일, 7월 27일 일요일 양일 간 오후 4시~9시 부둣가를 리모델링 한 1883개항광장에서 열린다. 12팀의 뮤지션과 DJ가 공연을 펼치며, 인천 지역 젊은 커뮤니티가 함께 모여 다양한 마켓과 체험프로그램을 선보인다.",인천광역시,070-7779-7128,인천관광공사,,20250726,20250727,16:00-21:00,1883개항광장,,무료,,,,,,,,"행사소개:""나는 바다의 내음도, 태양의 뜨거움도, 우리의 심장소리도 그립다."" 라는 슬로건과 함께 열리는 Open Port Sound는 개항의 역사를 간직한 인천항의 부둣가에서 열리는 음악페스티벌이다. 2025년 처음 열리는 이번 페스티벌은 7월 26일 토요일, 7월 27일 일요일 양일 간 오후 4시~9시 부둣가를 리모델링 한 1883개항광장에서 열린다. 12팀의 뮤지션과 DJ가 공연을 펼치며, 인천 지역 젊은 커뮤니티가 함께 모여 다양한 마켓과 체험프로그램을 선보인다. 
행사내용:1. 메인 프로그램 : 음악공연 (밴드 라이브 공연, DJ )<br>2. 부대 프로그램 : 바다의 모습을 닮은 천염염색 워크샵, 푸드트럭, 더위를 식힐 미니풀장<br>3. 로컬 체험 프로그램 : 인천 지역 예술가, 공예가, 소상공인이 참여하는 마켓과 체험 프로그램<br>4. 기타 내용 : 지역 상권 상생 이벤트 ‘개항장 한끼’- 동인천 로컬 맛집들에서 식사 후 영수증을 가져오면 기념굿즈 제공
",,
왕산마리나 바다축제,22383.0,인천경제자유구역청,032-899-7300,인천광역시 중구 왕산마리나길 143 (을왕동)왕산마리나 일원,37.4577559204,126.3578140337,"요트 정박지로 유명한 왕산마리나에서 개최되는 여름 바다축제가 펼쳐진다. 인천의 바다와 해양레저를 배경으로, 현장감 넘치는 음악공연과 화려한 불꽃쇼, 영종지역 베이커리들이 참여하는 영종지역베이커리부스까지 한데 어우러져 여름밤의 특별한 추억을 선사한다.",인천경제자유구역청,032-899-7300,인천관광공사,,20250719,20250719,12:00~21:00,,,무료,,,,,,,,"행사소개:요트 정박지로 유명한 왕산마리나에서 개최되는 여름 바다축제가 펼쳐진다. 인천의 바다와 해양레저를 배경으로, 현장감 넘치는 음악공연과 화려한 불꽃쇼, 영종지역 베이커리들이 참여하는 영종지역베이커리부스까지 한데 어우러져 여름밤의 특별한 추억을 선사한다.
행사내용:1. 메인프로그램 : 마리나콘서트(장민호, 홍진영, 박명수, 써니힐은주), 해양레저체험(요트승선), 물놀이 프로그램 <br> 
2. 부대프로그램 : 영종지역베이커리부스, 왕산체험놀이터
",,
보령머드축제,33487.0,보령시,041-930-0891,충청남도 보령시 신흑동2282,36.3148684347,126.5150414496,"*하기 축제 먹거리 정보는 2025년도 축제 먹거리 정보로 업데이트 중에 있습니다.*<br><br>체험형 여름축제이다. 바다를 바라보며 머드를 온몸으로 느끼는 일반존과 가족이 함께 하는 패밀리존 및 워터파크존으로 구성되어 있다. 낮에는 머드를 적시며 보낼 수 있고, 밤에는 다양한 공연, 불꽃쇼 등을 볼 수 있다.",보령시,041-930-0891,재단법인 보령축제관광재단,,20250725,20250810,10:00~18:00,보령머드엑스포광장,,"일반존 (성인 [월-목]10,000 [금-일] 14,000)<br>패밀리존 (어린이 [월-목] 9,000 [금-일] 11,000)",,,,,,,,"행사소개:*하기 축제 먹거리 정보는 2025년도 축제 먹거리 정보로 업데이트 중에 있습니다.*<br><br>체험형 여름축제이다. 바다를 바라보며 머드를 온몸으로 느끼는 일반존과 가족이 함께 하는 패밀리존 및 워터파크존으로 구성되어 있다. 낮에는 머드를 적시며 보낼 수 있고, 밤에는 다양한 공연, 불꽃쇼 등을 볼 수 있다.		
행사내용:1.공식 프로그램<br>- 개장식<br>- 개막식<br>- 폐막식<br><br>2. 체험 프로그램<br>- 머드체험존(일반존&강철머드챌린지/패밀리존/워터파크존)<br>- 머드몹신공연(주간)<br>- 머드셀프마사지, 컬러머드페인팅<br>- 머드뷰티케어<br>- 어린이 체험프로그램 등<br><br>3. 공연 프로그램<br>- 월드디제이페스티벌 (WDF)<br>- 한여름밤의콘서트<br>- K-힙합페스티벌 (DAY1) (DAY2)<br>- 엠카운트다운 (Mnet)<br>- 8090 라이트쇼<br>- K-POP 슈퍼 라이브 (KBS)<br>- TV조선 슈퍼콘서트<br>- 머드온더비치공연<br>- 열린무대 및 머드버스킹<br><br>4. 전시/판매 프로그램<br>- 머드화장품 및 캐릭터 전시 판매<br>- 보령 특산품, 외부 홍보부스 전시·판매<br>- 로컬 배달&피크닉존<br>- 청년희망부스<br>- 글로벌축제박람회<br>- 협찬기업홍보관<br><br>5. 연계 프로그램<br>- 시군통합 30주년 '동행 30년 대시민한마당'<br>- 테이스트오브 충남 '핫&쿨' (간편음식판매&대형휴게쉼터)<br>- 머드가요제<br>- 머드팩맨퍼포먼스<br>- 머드트레인<br>- 공군 블랙이글스 에어쇼 등
",선택안함,선택안함
진주 남강유등축제,52708.0,진주시·진주문화예술재단,055-761-9111,경상남도 진주시 강남로 287 (강남동),35.1879654969,128.0858370556,"*하기 축제 내용은 전년도(2024년) 축제 내용으로, 2025년도 축제 내용은 업데이트 중에 있습니다.*<br><br>대한민국 명예문화관광축제 진주남강유등축제는 경상남도 진주시 진주성과 진주남강에서 개최된다. 진주성과 진주남강의 수많은 화려한 유등과 함께 사랑다리 건너기, 소망등달기, 유람선 타기 등 다양한 체험과 불거리, 먹거리를 즐길 수 있다.",진주시·진주문화예술재단,055-761-9111,진주남강유등축제 제전위원회,,20251004,20251019,13:00~23:00,진주성 및 진주 남강 일원,,무료,,,,,,,,"행사소개:*하기 축제 내용은 전년도(2024년) 축제 내용으로, 2025년도 축제 내용은 업데이트 중에 있습니다.*<br><br>대한민국 명예문화관광축제 진주남강유등축제는 경상남도 진주시 진주성과 진주남강에서 개최된다. 진주성과 진주남강의 수많은 화려한 유등과 함께 사랑다리 건너기, 소망등달기, 유람선 타기 등 다양한 체험과 불거리, 먹거리를 즐길 수 있다.
행사내용:1. 메인프로그램 : 진주성, 진주남강 유등전시<br>
2. 부대프로그램 : 소망등달기, 유등띄우기, 등만들기 체험, 특설무대 공연<br>
3. 소비자 참여 프로그램 : 소망등 달기, 유등띄우기, 등만들기 체험, 특설무대 공연<br>
4. 기타 내용 : 세계먹거리, 진주청년매장음식점, 푸드트럭, 진주음식큰잔치, 농특삼품 판매장
",선택안함,선택안함
통영한산대첩축제,53054.0,통영문화재단,055-646-1592,경상남도 통영시 통영해안로 267 (항남동)통영한산대첩광장,34.8404410623,128.4246527027,"*하기 축제 먹거리 정보는 전년도(2024년) 정보로, 2025년도 축제 먹거리 정보는 업데이트 중에 있습니다.*<br><br>세계 4대 해전으로 일컬어지는 통영한산대첩과 구국의 영웅 이순신 장군을 기념하기 위하여 승전일인 음력 7월 7일(양력 8월14일) 전후로 통영의 전통문화콘텐츠와 최신 경향 전시?공연?체험 등 다양한 프로그램 도입을 통해 남녀노소 누구나 즐기고, 대한민국을 대표하는 호국?역사재현?인물 축제인 동시에 세계인과 함께 즐기는 글로벌 축제로 도약하고자 한다.",통영문화재단,055-646-1592,,,20250808,20250814,18:00~22:00,통영한산대첩광장 및 통영시 일원,,무료,,,,,,,,"행사소개:*하기 축제 먹거리 정보는 전년도(2024년) 정보로, 2025년도 축제 먹거리 정보는 업데이트 중에 있습니다.*<br><br>세계 4대 해전으로 일컬어지는 통영한산대첩과 구국의 영웅 이순신 장군을 기념하기 위하여 승전일인 음력 7월 7일(양력 8월14일) 전후로 통영의 전통문화콘텐츠와 최신 경향 전시?공연?체험 등 다양한 프로그램 도입을 통해 남녀노소 누구나 즐기고, 대한민국을 대표하는 호국?역사재현?인물 축제인 동시에 세계인과 함께 즐기는 글로벌 축제로 도약하고자 한다.
행사내용:1. 메인프로그램 : 전국 거북선 노젓기 대회, 고유제 봉행, 삼도수군통제사 행차 및 군점 재현, 제64회 통영한산대첩축제 개막식 및 특별공연, 2025 투나잇 통영 불꽃쇼, 통영청소년 댄스대첩, 해군군악대 수군수군콘서트, 승전고를 울려라, 한산도 최초의 통제영 학술발표회, 꿈틀꿈틀 청소년 뮤지컬 '학의 날개' 한산해전 출정식, 한산해전 재현, 한산대첩승전 축하퍼레이드<br>2. 부대프로그램 : 과천시 교류공연, 오늘밤 통한밤 EDM파티<br>3. 소비자 참여 프로그램 : 이순신의 물의 나라 워터랜드, 통영 수,문 장터<br>4. 기타 내용 : MADE IN 통영 12공방, 조선수군 훈련 체험, 임진왜란 3대 대첩 도시 캐릭터 등 전시, 통영 전통연 야간 조명 전시, 한산대첩 주전부리 존, 찾아가는 통영한산대첩축제
",선택안함,선택안함
평창효석문화제,25302.0,(사)이효석문학선양회,033-335-2323,강원특별자치도 평창군 봉평면 이효석길 157(봉평면),37.6146411618,128.3753929122,"*하기 축제 내용은 전년도(2024년) 축제 내용으로, 2025년도 축제 내용은 업데이트 중에 있습니다.*<br><br>평창효석문화제는 현대 단편소설, 이효석의 <메밀꽃 필 무렵>의 배경이 되는 강원특별자치도 평창군 봉평면에서 열리는 자연과 문학이 함께하는 축제이다. 올해는 『평창에서 누리는 지적사치 '문학과 미식'』을 슬로건으로 정하며 행사장을 6개의 공간으로 구성, 다양한 볼거리와 즐길거리를 준비하였다. 제45회 전국효석백일장 및 제5회 사생대회와 메밀꽃밭 산책로 탐방, 메밀꽃깡통열차, 당나귀 승마체험, 메밀꽃밭 한지공예전시, 메밀꽃밭 버스킹공연, 무이예술관 미술체험 등 다양한 체험이 가능하며 지역 농특산물 홍보관, 대관령한우 할인매장, 청년미식회, 봉평주민포차 등 먹거리도 즐길 수 있다. 축제기간동안 문화공간에서 펼쳐지는 마당극, 전통민속공연, 청년가요제를 비롯하여 책을 읽으며 소통하는 셀럽들의 책읽기, 문화관광해설사와 떠나는 문학산책 등 문화활동도 활발히 진행된다.",(사)이효석문학선양회,033-335-2323,,,20250905,20250914,10:00 ~ 21:00,이효석문화마을 일원,,유료,,,,,,,,"행사소개:*하기 축제 내용은 전년도(2024년) 축제 내용으로, 2025년도 축제 내용은 업데이트 중에 있습니다.*<br><br>평창효석문화제는 현대 단편소설, 이효석의 <메밀꽃 필 무렵>의 배경이 되는 강원특별자치도 평창군 봉평면에서 열리는 자연과 문학이 함께하는 축제이다. 올해는 『평창에서 누리는 지적사치 '문학과 미식'』을 슬로건으로 정하며 행사장을 6개의 공간으로 구성, 다양한 볼거리와 즐길거리를 준비하였다. 제45회 전국효석백일장 및 제5회 사생대회와 메밀꽃밭 산책로 탐방, 메밀꽃깡통열차, 당나귀 승마체험, 메밀꽃밭 한지공예전시, 메밀꽃밭 버스킹공연, 무이예술관 미술체험 등 다양한 체험이 가능하며 지역 농특산물 홍보관, 대관령한우 할인매장, 청년미식회, 봉평주민포차 등 먹거리도 즐길 수 있다. 축제기간동안 문화공간에서 펼쳐지는 마당극, 전통민속공연, 청년가요제를 비롯하여 책을 읽으며 소통하는 셀럽들의 책읽기, 문화관광해설사와 떠나는 문학산책 등 문화활동도 활발히 진행된다.
행사내용:1. 메인프로그램 : 메밀꽃밭 산책로 탐방<br>
2. 부대프로그램 : 당나귀 승마체험, 메밀꽃깡통열차, 흥정천갯가책방, 로컬마켓 운영, 메밀꽃 버스킹, 마당극 등 문화공연
",선택안함,선택안함
이천도자기축제,17306.0,이천시·이천문화재단,031-645-3681~3,"경기도 이천시 신둔면 도자예술로62번길 123이천도자예술마을(예스파크),  사기막골도예촌",37.2913267465,127.3806506302,"제39회 이천도자기 축제는 경기도 이천시 이천도자예술마을, 사기막골 일대에서 열리는 도자기문화 행사이다, 이천은 예로부터 도자기의 원료가 되는 양질의 흙과 우수한 가마 기술을 보유하여 국내외로 명성을 얻은 지역이다. 전통과 현대를 아우르는 다양한 도자 작품이 이곳에서 생산된다. 축제기간동안 도예가와 관람객이 한자리에 모여 도자기의 역사·예술적 가치를 재조명하고, 물레 체험이나, 대형도자기 소원 글쓰기 등 체험 프로그램을 통해 직접 도자 제작 과정을 경험한다. 판매 부스에서는 전통 기법을 살린 도자기부터 현대적인 디자인 작품까지 폭넓게 전시·판매 된다. 또한 학술 세미나, 도자기 공모전, 공연 등 연계프로그램이 함께 진행되어 문화·예술 교류의 장이 된다. 지역 도예 업계 종사자와 주민이 적극적으로 참여하여 지격경제 활성화에 기여하며, 축제를 통해 이천 도자문화의 우수성과 한국 도예의 국제적 경쟁력을 널리 알리는 역할을 한다.",이천시·이천문화재단,031-645-3681~3,이천시도자기축제추진위원회,,20250425,20250506,10:00~18:00,"이천도자예술마을(예스파크),  사기막골도예촌",,"입장료, 주차장 무료",,,,,,,,"행사소개:제39회 이천도자기 축제는 경기도 이천시 이천도자예술마을, 사기막골 일대에서 열리는 도자기문화 행사이다, 이천은 예로부터 도자기의 원료가 되는 양질의 흙과 우수한 가마 기술을 보유하여 국내외로 명성을 얻은 지역이다. 전통과 현대를 아우르는 다양한 도자 작품이 이곳에서 생산된다. 축제기간동안 도예가와 관람객이 한자리에 모여 도자기의 역사·예술적 가치를 재조명하고, 물레 체험이나, 대형도자기 소원 글쓰기 등 체험 프로그램을 통해 직접 도자 제작 과정을 경험한다. 판매 부스에서는 전통 기법을 살린 도자기부터 현대적인 디자인 작품까지 폭넓게 전시·판매 된다. 또한 학술 세미나, 도자기 공모전, 공연 등 연계프로그램이 함께 진행되어 문화·예술 교류의 장이 된다. 지역 도예 업계 종사자와 주민이 적극적으로 참여하여 지격경제 활성화에 기여하며, 축제를 통해 이천 도자문화의 우수성과 한국 도예의 국제적 경쟁력을 널리 알리는 역할을 한다.
행사내용:1. 메인프로그램 : 전시(명장작품전시,현대작가공모전,특별전,외국작가 초청 전시 및 시연, 한국세라믹기술원전), 판매(240여개의 도예공방 참여 도자기 전시 및 판매),체험(물레체험, 도자기 컵 만들기, 대형도자기 소원글 쓰기, 도자기 놀이마당 등)<br>
2. 부대프로그램 : 이벤트( 명장워크숍, 대형도자기 제작, 노천소성 도자기 만들기, 명품 도자 소성작품 경매 등), 사찰음식 시연·시식·체험<br>
3. 소비자 참여 프로그램 : 흥미진진 놀이체험(캐리커처,페이스페인팅, 막걸리 칵테일 제조, 목공,가죽공예 등 다양한 체험<br>
4. 기타 내용 : 콜라보이벤트-행복한 3만원전[도자기컵 한정판매(200세트) + 이천 쌀 증정 ] , 10만원 이상 도자기 구매시 타포린백 증정 이벤트(1500매 한정)
",선택안함,선택안함
인천펜타포트 락 페스티벌,22005.0,인천광역시,032-899-7423,인천광역시 연수구 센트럴로 350(송도동),37.4078332011,126.6324847807,"*하기 축제 먹거리 정보는 전년도(2024년) 정보로, 2025년도 축제 먹거리 정보는 업데이트 중에 있습니다.*<br><br>인천펜타포트 음악축제는 2025년에 20주년을 맞이한 국내 대표 음악축제이다. 인천 송도달빛축제공원에서 8월 1일부터 3일까지 3일간 개최되며, 국내외 최정상급 록·인디·얼터너티브 등 다양한 분야의 뮤지션이 참여한다. 문화체육관광부 선정 대한민국 대표 글로벌 축제로, 매년 약 15만명 이상이 참여해 왔으며, 실력 있는 신인 아티스트를 발굴하는 '펜타 슈퍼루키', 시민과 함께하는 '라이브 클럽파티' 등 다양한 지역연계프로그램은 물론, 올해 20주년을 기념하는 사전행사와 팝업스토어까지 선보인다. 펜타포트는 공연 외에도 관광, 숙박, 교통이 연계된 여행 패키지 상품이 함께 운영되어 인천을 배경으로 한 복합문화관광 콘텐츠로서 지역 경제 및 문화 활성화에 기여하고 있다.",인천광역시,032-899-7423,"인천관광공사, 경기일보",,20250801,20250803,10:00 ~ 22:00,송도달빛축제공원,,유료,,,,,,,,"행사소개:*하기 축제 먹거리 정보는 전년도(2024년) 정보로, 2025년도 축제 먹거리 정보는 업데이트 중에 있습니다.*<br><br>인천펜타포트 음악축제는 2025년에 20주년을 맞이한 국내 대표 음악축제이다. 인천 송도달빛축제공원에서 8월 1일부터 3일까지 3일간 개최되며, 국내외 최정상급 록·인디·얼터너티브 등 다양한 분야의 뮤지션이 참여한다. 문화체육관광부 선정 대한민국 대표 글로벌 축제로, 매년 약 15만명 이상이 참여해 왔으며, 실력 있는 신인 아티스트를 발굴하는 '펜타 슈퍼루키', 시민과 함께하는 '라이브 클럽파티' 등 다양한 지역연계프로그램은 물론, 올해 20주년을 기념하는 사전행사와 팝업스토어까지 선보인다. 펜타포트는 공연 외에도 관광, 숙박, 교통이 연계된 여행 패키지 상품이 함께 운영되어 인천을 배경으로 한 복합문화관광 콘텐츠로서 지역 경제 및 문화 활성화에 기여하고 있다.
행사내용:1. 메인프로그램 : 펜타포트 락 페스티벌<br>2. 부대프로그램 : 메인/서브/서드스테이지, F&B 존, 개막 퍼포먼스, 스폰서 프로그램<br>3. 지역연계프로그램 : 펜타 슈퍼루키, 펜타포트 라이브 클럽파티, 펜타포트 쇼케이스<br>4. 사전 행사 및 이벤트 : 펜타포트 사전공연, 펜타포트 20주년 팝업스토어 등<br><br>[이용요금]<br>- 1일권 120,000원 <br>- 2일권 180,000원<br>- 3일권 240,000원
",선택안함,선택안함
목포항구축제,58751.0,목포시,061-270-8441,전라남도 목포시 삼학로92번길 6 (산정동),34.7865706743,126.393682223,"*하기 축제 먹거리 정보는 전년도(2024년) 정보로, 2025년도 축제 먹거리 정보는 업데이트 중에 있습니다.*<br><br>목포는 1897년 개항하여 교역, 물류 교통의 중심지로서 과거 전국 3대항, 6대 도시의 영광을 누리면서, 지역경제의 부흥을 주도했으며 현재에는 서남해안의 배후 중심 도시이다. 목포항구축제는 설화가 공존하는 삼학도에서 항구 내음 가득한 목포항의 전통 파시(波市)를 전국에서 유일하게 축제로 재현하여 역사적인 가치를 널리 알린다. 또한 제철 수산물을 활용한 파시 경매, 경매 받은 수산물을 즉석해서 구워먹고 요리 해먹는 등 풍요로운 목포항의 낭만을 가득 담은 행사가 마련되어 있는 가을 축제이다.",목포시,061-270-8441,목포시축제추진위원회,,20250926,20250928,13:00~22:00,목포항&삼학도 일원,,무료,,,,,,,,"행사소개:*하기 축제 먹거리 정보는 전년도(2024년) 정보로, 2025년도 축제 먹거리 정보는 업데이트 중에 있습니다.*<br><br>목포는 1897년 개항하여 교역, 물류 교통의 중심지로서 과거 전국 3대항, 6대 도시의 영광을 누리면서, 지역경제의 부흥을 주도했으며 현재에는 서남해안의 배후 중심 도시이다. 목포항구축제는 설화가 공존하는 삼학도에서 항구 내음 가득한 목포항의 전통 파시(波市)를 전국에서 유일하게 축제로 재현하여 역사적인 가치를 널리 알린다. 또한 제철 수산물을 활용한 파시 경매, 경매 받은 수산물을 즉석해서 구워먹고 요리 해먹는 등 풍요로운 목포항의 낭만을 가득 담은 행사가 마련되어 있는 가을 축제이다.
행사내용:1. 메인프로그램 : 파시 해상 퍼레이드, 파시장터, 파시 경매<br>2. 부대프로그램 : 도깨비장터, 시민노젓기대회, 어등 터널<br>3. 소비자 참여 프로그램 : 파시장터 구이터, 파시 수랏간, 1897 건맥, 낭만한끼, 범선 승선 체험, 노젓기 대회<br>4. 공연 프로그램 : 난영가요제, 바다콘서트, 목포항구 문화공연, 항구 디스코파티, 파시 노래자랑
",선택안함,선택안함
